Created with UCDetector 1.10.0	2014-06-19 08:29:27	http://www.ucdetector.org/	
com.l2fprod.common.beans.editor.StringConverterPropertyEditor.<init>(StringConverterPropertyEditor.java:29)	Change visibility of Class "StringConverterPropertyEditor" to default - May cause compile errors!	StringConverterPropertyEditor	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.beans.editor.StringConverterPropertyEditor.convertToString(StringConverterPropertyEditor.java:64)	Change visibility of Method "StringConverterPropertyEditor.convertToString(Object)" to private	StringConverterPropertyEditor.convertToString(Object)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.beans.editor.FontPropertyEditor.<init>(FontPropertyEditor.java:37)	Class "FontPropertyEditor" has 0 references	FontPropertyEditor	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.beans.editor.DirectoryPropertyEditor.<init>(DirectoryPropertyEditor.java:33)	Class "DirectoryPropertyEditor" has 0 references	DirectoryPropertyEditor	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.beans.editor.FilePropertyEditor.FilePropertyEditor(FilePropertyEditor.java:54)	Change visibility of Constructor "FilePropertyEditor.FilePropertyEditor(boolean)" to private	FilePropertyEditor.FilePropertyEditor(boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.beans.editor.FilePropertyEditor.<init>(FilePropertyEditor.java:85)	Change visibility of Member class "FilePropertyEditor.FileTransferHandler" to private - May cause compile errors!	FilePropertyEditor.FileTransferHandler	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.beans.editor.FilePropertyEditor.customizeFileChooser(FilePropertyEditor.java:153)	Change visibility of Method "FilePropertyEditor.customizeFileChooser(JFileChooser)" to private	FilePropertyEditor.customizeFileChooser(JFileChooser)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.beans.editor.FilePropertyEditor.selectNull(FilePropertyEditor.java:156)	Change visibility of Method "FilePropertyEditor.selectNull()" to private	FilePropertyEditor.selectNull()	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.OutlookBarMain.<init>(OutlookBarMain.java:43)	Class "OutlookBarMain" has 0 references	OutlookBarMain	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.demo.PropertySheetPage3.<init>(PropertySheetPage3.java:37)	Change visibility of Class "PropertySheetPage3" to default - May cause compile errors!	PropertySheetPage3	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.PropertySheetPage3.RESOURCE(PropertySheetPage3.java:40)	Change visibility of Field "PropertySheetPage3.RESOURCE" to private	PropertySheetPage3.RESOURCE	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage3.<init>(PropertySheetPage3.java:104)	Change visibility of Member class "PropertySheetPage3.NoReadWriteProperty" to private - May cause compile errors!	PropertySheetPage3.NoReadWriteProperty	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage3.<init>(PropertySheetPage3.java:111)	Change visibility of Member class "PropertySheetPage3.Colorful" to private - May cause compile errors!	PropertySheetPage3.Colorful	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage3.<init>(PropertySheetPage3.java:161)	Change visibility of Member class "PropertySheetPage3.ColorProperty" to private - May cause compile errors!	PropertySheetPage3.ColorProperty	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage3.<init>(PropertySheetPage3.java:177)	Change visibility of Member class "PropertySheetPage3.ColorComponentProperty" to private - May cause compile errors!	PropertySheetPage3.ColorComponentProperty	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage3.ColorComponentProperty(PropertySheetPage3.java:179)	Change visibility of Constructor "PropertySheetPage3.ColorComponentProperty.ColorComponentProperty(String)" to private	PropertySheetPage3.ColorComponentProperty.ColorComponentProperty(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.ButtonBarMain.<init>(ButtonBarMain.java:37)	Change visibility of Class "ButtonBarMain" to default - May cause compile errors!	ButtonBarMain	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.ButtonBarMain.RESOURCE(ButtonBarMain.java:39)	Change visibility of Field "ButtonBarMain.RESOURCE" to private	ButtonBarMain.RESOURCE	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.ButtonBarMain.<init>(ButtonBarMain.java:60)	Change visibility of Member class "ButtonBarMain.ButtonBarPanel" to private - May cause compile errors!	ButtonBarMain.ButtonBarPanel	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.ButtonBarMain.ButtonBarPanel(ButtonBarMain.java:64)	Change visibility of Constructor "ButtonBarMain.ButtonBarPanel.ButtonBarPanel(JButtonBar)" to private	ButtonBarMain.ButtonBarPanel.ButtonBarPanel(JButtonBar)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage2.<init>(PropertySheetPage2.java:40)	Change visibility of Class "PropertySheetPage2" to default - May cause compile errors!	PropertySheetPage2	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.PropertySheetPage.<init>(PropertySheetPage.java:45)	Change visibility of Class "PropertySheetPage" to default - May cause compile errors!	PropertySheetPage	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.PropertySheetPage.<init>(PropertySheetPage.java:86)	Change visibility of Member class "PropertySheetPage.Bean" to private - May cause compile errors!	PropertySheetPage.Bean	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage.<init>(PropertySheetPage.java:190)	Member class "PropertySheetPage.BeanBeanInfo" has 0 references	PropertySheetPage.BeanBeanInfo	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.demo.PropertySheetPage.<init>(PropertySheetPage.java:216)	Change visibility of Member class "PropertySheetPage.SeasonEditor" to private - May cause compile errors!	PropertySheetPage.SeasonEditor	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetPage.<init>(PropertySheetPage.java:226)	Member class "PropertySheetPage.BeanRB" has 0 references	PropertySheetPage.BeanRB	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.demo.Main.<init>(Main.java:40)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.demo.TaskPaneMain.<init>(TaskPaneMain.java:47)	Change visibility of Class "TaskPaneMain" to default - May cause compile errors!	TaskPaneMain	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.TaskPaneMain.RESOURCE(TaskPaneMain.java:49)	Change visibility of Field "TaskPaneMain.RESOURCE" to private	TaskPaneMain.RESOURCE	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.TaskPaneMain.<init>(TaskPaneMain.java:115)	Change visibility of Member class "TaskPaneMain.DemoPanel" to private - May cause compile errors!	TaskPaneMain.DemoPanel	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.TaskPaneMain.makeAction(TaskPaneMain.java:181)	Change visibility of Method "TaskPaneMain.DemoPanel.makeAction(String,String,String)" to private	TaskPaneMain.DemoPanel.makeAction(String,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.ChooseFont.<init>(ChooseFont.java:36)	Change visibility of Class "ChooseFont" to default - May cause compile errors!	ChooseFont	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.ChooseDirectory.<init>(ChooseDirectory.java:39)	Class "ChooseDirectory" has 0 references	ChooseDirectory	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.demo.FakeFileSystemView.<init>(FakeFileSystemView.java:31)	Change visibility of Class "FakeFileSystemView" to default - May cause compile errors!	FakeFileSystemView	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.demo.FakeFileSystemView.<init>(FakeFileSystemView.java:265)	Change visibility of Member class "FakeFileSystemView.FakeFile" to private - May cause compile errors!	FakeFileSystemView.FakeFile	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.FakeFileSystemView.FakeFile(FakeFileSystemView.java:266)	Change visibility of Constructor "FakeFileSystemView.FakeFile.FakeFile(String)" to private	FakeFileSystemView.FakeFile.FakeFile(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.demo.PropertySheetMain.<init>(PropertySheetMain.java:34)	Change visibility of Class "PropertySheetMain" to default - May cause compile errors!	PropertySheetMain	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.model.HasId.<init>(HasId.java:54)	Change visibility of Interface "HasId" to default - May cause compile errors!	HasId	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.model.Openable.<init>(Openable.java:54)	Interface "Openable" has 0 references	Openable	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.model.BaseObject.<init>(BaseObject.java:56)	Class "BaseObject" has 0 references	BaseObject	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.model.TitledObject.<init>(TitledObject.java:54)	Change visibility of Interface "TitledObject" to default - May cause compile errors!	TitledObject	org.ucdetector.analyzeMarkerVisibilityDefault	
com.l2fprod.common.model.TitledObject.setTitle(TitledObject.java:58)	Method "TitledObject.setTitle(String)" has 0 references	TitledObject.setTitle(String)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.DefaultProperty.clearSubProperties(DefaultProperty.java:193)	Method "DefaultProperty.clearSubProperties()" has 0 references	DefaultProperty.clearSubProperties()	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.DefaultProperty.addSubProperties(DefaultProperty.java:202)	Change visibility of Method "DefaultProperty.addSubProperties(Collection)" to private	DefaultProperty.addSubProperties(Collection)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.propertysheet.DefaultProperty.addSubProperties(DefaultProperty.java:211)	Method "DefaultProperty.addSubProperties(Property[])" has 0 references	DefaultProperty.addSubProperties(Property[])	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.propertysheet.PropertySheetTableModel.<init>(PropertySheetTableModel.java:38)	Change visibility of Class "PropertySheetTableModel" to default - May cause compile errors!	PropertySheetTableModel	org.ucdetector.analyzeMarkerVisibilityDefault	
